ISO3,Well_Being_Index
MLI,0.18952000863476495
MLT,0.516364305445474
MMR,0.1562161695425672
MNA,0.059269292670274275
MNE,0.16634072517926446
MNG,0.35847578997016694
MOZ,0.23757968013566533
MRT,0.18589433213092657
MTQ,0.019238841471946277
MUS,0.4459663435115702
MWI,0.2364694209483617
MYS,0.6231813942410751
MYT,0.09332587099482302
NAC,0.12353432437743636
NAM,0.22892300793147638
NCL,0.0824122009234644
NER,0.19750858054670703
NGA,0.14495943430159633
NIC,0.5304362442854103
NLD,0.4359118557963195
NOR,0.12638110839024902
NPL,0.17209132666104884
NRU,0.1424776195326869
NZL,0.1866029181601086
OED,0.1200595756690909
OMN,0.6663597702249088
OSS,0.10426324214055342
PAK,0.18189083955083168
PAN,0.5576834299749279
PER,0.595950766674275
PHL,0.18933510358660333
PLW,0.1972917901765101
PNG,0.2478384176930312
POL,0.6143136909196427
PRE,0.05105607380777104
PRI,0.4114264169750038
PRK,0.13757520638029944
PRT,0.49051198049008005
PRY,0.49092356740502574
PSE,0.20983729451841282
PSS,0.12569232367909783
PST,0.12074247183856372
PYF,0.09734853784804813
QAT,0.6499081154889406
REU,0.05145515600951447
ROU,0.493575271636428
RUS,0.43875992621374305
RWA,0.24320441053839204
SAS,0.05484344859504291
SAU,0.5254191379378823
SDN,0.1812796934317723
SEN,0.18354864768733664
SGP,0.5066133524784823
SHN,0.052399608227228195
SLB,0.13692598622199081
SLE,0.17468035414887786
SLV,0.20277966276273496
SMR,0.12302101894877357
SOM,0.2028672381086277
SPM,0.03518959003777808
SRB,0.4561166118147446
SSA,0.08711529234869922
SSD,0.20912271901016138
SSF,0.08659650082046745
SST,0.09829817654809338
STP,0.2130119788532835
SUR,0.19779055806346751
SVK,0.5493302166336437
SVN,0.38560389683449886
SWE,0.3755109438599539
SWZ,0.19915090012336706
SXM,0.041380999020568056
SYC,0.5113672269678642
SYR,0.19313075917133582
TCA,0.025954946131243863
TCD,0.14259742106329537
TEA,0.08184714831959682
TEC,0.09347283389894269
TGO,0.11976720821897341
THA,0.5125867224596916
TJK,0.5512131075095804
TKL,0.11501329229047154
TKM,0.12796911354977744
TLA,0.09015749047406868
TLS,0.25662246014053824
TMN,0.05885700872701087
TON,0.256411787435024
TSA,0.054843448595042886
TSS,0.08659650082046745
TTO,0.43714510924259076
TUN,0.20567570717852066
TUR,0.5762150627286439
TUV,0.2621029802714426
TZA,0.20295639061101406
UGA,0.1877778467303995
UKR,0.1261123720292767
UMC,0.08555786602148055
URY,0.2803084227364682
USA,0.3920925078330714
UZB,0.4970643599319979
VCT,0.5210584892144243
VEN,0.21299983103151082
VNM,0.19328742308556288
VUT,0.2624284969041688
WLD,0.11261515097612652
WSM,0.2505620241690052
YEM,0.1498991515371546
ZAF,0.6920668984690047
ZMB,0.24799106774612686
ZWE,0.22805428802833141
